loc_id,pm25_sensor_id,page1_rows,min_date,max_date,status
146,1304692,1000,2021-04-30,2024-06-01,ok
148,232,1000,2016-01-30,2019-02-14,ok
152,235,1000,2016-01-30,2019-03-17,ok
153,1927060,1000,2022-05-12,2025-10-06,ok
154,246,1000,2016-02-02,2019-03-25,ok
155,249,1000,2016-02-06,2019-05-19,ok
157,254,1000,2016-01-30,2019-03-03,ok
158,257,1000,2016-01-30,2019-04-03,ok
159,28890,1000,2018-04-16,2021-03-30,ok
141,261,1000,2016-01-30,2019-03-17,ok
147,228,1000,2016-02-01,2019-05-17,ok
223757,1296138,782,2018-09-28,2020-11-30,ok
223699,1295945,778,2018-10-04,2020-11-30,ok
223710,1295981,778,2018-10-04,2020-11-30,ok
223691,1295916,771,2018-10-11,2020-11-30,ok
223714,1295993,766,2018-10-16,2020-11-30,ok
223746,1296101,764,2018-10-18,2020-11-30,ok
223713,1295989,756,2018-10-16,2020-11-30,ok
223707,1295972,751,2018-10-23,2020-11-30,ok
223704,1295961,744,2018-10-17,2020-11-30,ok
223747,1296105,743,2018-10-05,2020-11-20,ok
223748,1296109,741,2018-10-09,2020-11-30,ok
223729,1296047,740,2018-10-16,2020-11-30,ok
223718,1296008,733,2018-10-10,2020-11-30,ok
223717,1296004,729,2018-10-16,2020-11-28,ok
223738,1296072,727,2018-10-16,2020-11-01,ok
223721,1296017,678,2018-11-22,2020-10-30,ok
223752,1296124,674,2018-10-12,2020-08-25,ok
223762,1296156,656,2019-02-06,2020-11-30,ok
223703,1295957,653,2018-10-25,2020-11-30,ok
223750,1296116,649,2019-02-14,2020-11-30,ok
223709,1295977,635,2018-11-02,2020-09-03,ok
223745,1296097,611,2019-03-04,2020-11-30,ok
223723,1296024,601,2018-10-03,2020-06-04,ok
223764,1296164,601,2018-12-17,2020-11-30,ok
223695,1295930,594,2019-03-04,2020-11-30,ok
223725,1296032,594,2018-10-19,2020-07-02,ok
223758,1296142,591,2018-10-23,2020-08-03,ok
223737,1296070,588,2019-02-28,2020-11-30,ok
223727,1296039,579,2019-03-01,2020-10-11,ok
223720,1296013,571,2019-03-07,2020-10-24,ok
223692,1295920,568,2019-05-02,2020-11-30,ok
223730,1296051,562,2018-12-01,2020-11-30,ok
223687,1295903,549,2019-02-28,2020-11-30,ok
223689,1295908,539,2018-10-10,2020-05-31,ok
223739,1296076,538,2019-02-27,2020-09-24,ok
223728,1296043,534,2019-03-01,2020-09-04,ok
223754,1296129,534,2019-03-13,2020-11-30,ok
223694,1295926,530,2019-03-15,2020-10-02,ok
223744,1296093,523,2018-10-26,2020-10-07,ok
223761,1296152,506,2019-03-06,2020-09-23,ok
223693,1295924,505,2019-07-09,2020-11-30,ok
223702,1295953,460,2019-03-06,2020-11-19,ok
223766,1296171,435,2019-09-17,2020-11-30,ok
223733,1296060,424,2019-03-21,2020-05-22,ok
137,211,371,2016-01-30,2017-04-28,ok
223743,1296089,328,2019-03-04,2020-11-30,ok
223753,1296127,326,2020-01-06,2020-11-30,ok
223755,1296133,320,2020-01-13,2020-11-30,ok
223698,1295942,310,2020-01-06,2020-11-30,ok
223696,1295934,307,2019-07-17,2020-11-30,ok
223740,1296080,304,2019-02-14,2020-11-27,ok
223731,1296055,299,2019-03-21,2020-09-08,ok
223763,1296160,278,2020-02-25,2020-11-30,ok
223705,1295966,267,2018-10-16,2019-07-22,ok
150,12626392,239,2025-03-30,2025-12-15,ok
151,12915957,225,2025-04-29,2025-12-15,ok
223690,1295912,151,2019-03-06,2020-09-17,ok
223741,1296084,136,2019-03-01,2020-08-27,ok
223716,1296000,70,2019-03-05,2020-10-02,ok
223724,1296028,40,2020-08-06,2020-09-14,ok
60,206,11,2016-01-30,2016-02-09,ok
149,NA,0,NA,NA,no_pm25_sensor
223701,NA,0,NA,NA,no_pm25_sensor
223734,NA,0,NA,NA,no_pm25_sensor
223749,NA,0,NA,NA,no_pm25_sensor
223751,NA,0,NA,NA,no_pm25_sensor
223759,NA,0,NA,NA,no_pm25_sensor
223735,NA,0,NA,NA,no_pm25_sensor
223697,NA,0,NA,NA,no_pm25_sensor
223719,NA,0,NA,NA,no_pm25_sensor
223756,NA,0,NA,NA,no_pm25_sensor
223712,NA,0,NA,NA,no_pm25_sensor
223688,NA,0,NA,NA,no_pm25_sensor
223742,NA,0,NA,NA,no_pm25_sensor
223732,NA,0,NA,NA,no_pm25_sensor
223706,NA,0,NA,NA,no_pm25_sensor
223686,NA,0,NA,NA,no_pm25_sensor
223708,NA,0,NA,NA,no_pm25_sensor
223711,NA,0,NA,NA,no_pm25_sensor
223760,NA,0,NA,NA,no_pm25_sensor
223715,NA,0,NA,NA,no_pm25_sensor
223722,NA,0,NA,NA,no_pm25_sensor
223726,NA,0,NA,NA,no_pm25_sensor
223736,NA,0,NA,NA,no_pm25_sensor
223765,NA,0,NA,NA,no_pm25_sensor
223700,NA,0,NA,NA,no_pm25_sensor
156,NA,0,NA,NA,no_pm25_sensor
